,Name,Nationality,Club,Age,BP,Position,Total Stats,OVA,POT,Height,Weight,foot,Value,Wage
0,G. Pasquale,Italy,Udinese,33,LWB,LM,1929,69,69,182.88,82.1,Left,625000,7000
1,Luis García,Spain,KAS Eupen,37,CM,CM CAM CDM,1906,71,71,177.8,64.86,Right,600000,7000
2,J. Cole,England,Coventry City,33,CAM,CAM RM RW LM,1770,71,71,175.26,73.03,Right,1100000,15000
3,D. Yorke,Trinidad &amp; Tobago,Sunderland,36,ST,,1348,68,82,180.34,74.84,Right,0,0
4,Iniesta,Spain,Vissel Kobe,36,CAM,CM CAM,2014,81,81,170.18,68.04,Right,5500000,12000
5,D. Odonkor,Germany,Alemannia Aachen,27,RW,RW RM,1649,66,70,172.72,73.94,Right,725000,5000
6,E. Belözoğlu,Turkey,Fenerbahçe SK,38,CM,CM CDM,2017,77,77,170.18,72.12,Left,2800000,44000
7,R. Giggs,Wales,Manchester United,39,CAM,LM CM CAM,1939,78,78,177.8,71.21,Left,1000,60000
8,G. Neville  B,England,Manchester United,35,CB,RB CB RWB,1774,76,82,177.8,78.93,Right,0,0
9,P. Scholes,England,Manchester United,37,CAM,CM CDM,2065,80,80,170.18,71.21,Right,400000,40000
10,P. Neville,England,Everton,35,CB,CDM CM RB,1868,74,74,180.34,76.2,Right,120000,7000
11,D. Beckham,England,,37,CM,CM RM,2012,78,78,182.88,74.84,Right,0,0
12,R. Keane,Republic of Ireland,LA Galaxy,35,CF,ST,1974,80,80,175.26,73.03,Right,5500000,10000
13,S. Campbell,England,Newcastle United,35,CB,,1581,75,79,187.96,86.18,Right,0,0
14,O. Kahn,Germany,FC Bayern München,38,GK,GK,1196,87,90,187.96,89.81,Right,0,0
15,D. Hamann,Germany,Milton Keynes Dons,36,CB,,1698,61,82,187.96,76.2,Right,0,0
16,A. Okocha,Nigeria,Hull City,33,CF,,1405,73,90,172.72,69.85,Right,0,0
17,Zulu,Brazil,Pohang Steelers,26,ST,,1704,66,72,193.04,89.81,Right,0,0
18,M. Schwarzer,Australia,Leicester City,42,GK,,1111,73,73,193.04,94.8,Right,500000,15000
19,J. Lehmann,Germany,VfB Stuttgart,39,GK,,1224,79,87,190.5,87.09,Right,0,0
20,G. Király,Hungary,Hungary,39,GK,,1084,69,69,193.04,91.17,Right,0,0
21,Roberto Carlos,Brazil,FC Anzhi Makhachkala,38,CDM,CDM LB LM,2207,79,79,167.64000000000001,69.85,Left,0,30000
22,J. Zanetti,Argentina,Inter,39,CDM,RM RB CM,1874,75,75,177.8,74.84,Right,1000,45000
23,A. Del Piero,Italy,Sydney FC,38,CAM,ST CAM,1682,70,70,175.26,73.94,Right,190000,30000
24,A. Nesta,Italy,Montreal Impact,37,CB,CB,1548,73,73,187.96,78.93,Right,0,6000
25,P. Maldini,Italy,Milan,40,CB,CB,1471,77,89,185.42,84.82,Right,0,0
26,G. Buffon,Italy,Juventus,42,GK,GK,1292,82,82,193.04,92.08,Right,2200000,41000
27,F. Cannavaro,Italy,Juventus,35,CB,CB,1481,82,89,175.26,74.84,Right,0,0
28,Couto,Portugal,Parma,37,CB,,1438,82,84,182.88,83.91,Right,0,0
29,F. Inzaghi,Italy,Milan,37,ST,ST,1507,73,73,180.34,73.94,Right,350000,15000
30,C. Abbiati,Italy,Milan,37,GK,GK,1160,75,75,190.5,92.08,Right,1300000,40000
31,Marco Paulo,Portugal,CF Estrela da Amadora,35,CF,RM,1300,61,68,180.34,76.2,Right,0,0
32,F. Totti,Italy,Roma,39,CAM,CF ST,1872,80,80,180.34,82.1,Right,1500000,60000
33,C. Seedorf,Netherlands,Botafogo,37,CAM,CAM,2077,82,82,177.8,79.83,Right,2200000,60000
34,P. Vieira,France,Manchester City,34,CDM,CDM CM,2042,76,87,193.04,82.1,Right,0,0
35,L. Thuram,France,FC Barcelona,35,CB,CB,1540,83,87,185.42,78.93,Right,0,0
36,T. Henry,France,,36,CAM,CF ST CAM LW,1882,79,79,187.96,83.01,Right,0,0
37,C. Makélelé,France,Paris Saint-Germain,37,CDM,CDM CM,1740,74,81,175.26,69.85,Right,0,0
38,G. Coupet,France,Paris Saint-Germain,37,GK,GK,1149,75,83,180.34,79.83,Right,0,0
39,O. Solskjær,Norway,Manchester United,34,ST,ST,1432,75,83,175.26,73.94,Right,0,0
40,L. Bowyer,England,Ipswich Town,34,CM,,1870,69,69,175.26,68.95,Right,275000,3000
41,M. Stekelenburg,Netherlands,Ajax,37,GK,GK,1150,72,72,198.12,92.08,Right,325000,5000
42,H. Trabelsi,Tunisia,Manchester City,29,RWB,,1418,79,82,180.34,73.94,Right,0,0
43,R. Weidenfeller,Germany,Borussia Dortmund,36,GK,GK,1058,75,75,190.5,89.81,Left,900000,20000
44,E. Heskey,England,Bolton Wanderers,37,ST,,1679,66,66,185.42,92.99,Right,80000,4000
45,Eliseu,Portugal,SL Benfica,33,LB,LB,2113,76,76,175.26,82.1,Left,3000000,15000
46,S. Given,Republic of Ireland,Stoke City,40,GK,GK,1223,73,73,185.42,83.91,Right,500000,20000
47,K. Ellison,England,Newport County,41,ST,LM ST,1669,58,58,180.34,76.2,Left,0,2000
48,R. Delap,Republic of Ireland,Burton Albion,36,CB,CM RM RB,1786,63,63,182.88,74.84,Right,35000,0
